,Link,Caption,Comments,Likes,Image Link,Video?,Post Date
26,https://www.instagram.com/p/CNPPbj1H8nG/,[HIGHLIGHT OF THE WEEK]Siapa yang masih ingat dengan mutasi D614G yang menghebohkam tahun lalu? Karena dikatakan lebih mudah menular. Bener gak sih mutasi yang sudah ditemukan menyebkan penularan lebih mudah terjadi?.Lalu dalam 1 tahun apa aja jenis mutasi yang sudah ditemukan dan pengaruhnya? Simak postingan mico berikut.#BersatuLawanCovid19 #3M3T #mutasicovid19,0,70,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/169495191_476979056877771_2819446716479220837_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=8wdVBGgZYqMAX-Evz7k&edm=APU89FABAAAA&ccb=7-4&oh=b6f93fb38ef8a702b9bbbc23982dc678&oe=60DD1BDD&_nc_sid=86f79a,False,2021 Apr 04 15:57:02
27,https://www.instagram.com/p/CNPEd20ncpx/,"Halo Fighters! Buat yg kemaren belom sempet ikutan lomba tiktok challenge, ada kabar baik niih karena lombanya diperpanjang hingga tanggal 11 April 2021! Yuk segera upload video mu sekarang, jangan lupa untuk ajak teman temannya yang lain yaa!#padhangelingke #tiktok #tiktokindonesia #covid_19",1,23,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/167811767_494068985106221_3312180584667367541_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=105&_nc_ohc=hoLUJfor4P8AX_JSc_G&edm=APU89FABAAAA&ccb=7-4&oh=786a3045cef86503138d8b988c10692f&oe=60DDA185&_nc_sid=86f79a,False,2021 Apr 04 14:21:14
28,https://www.instagram.com/p/CNM9u7UHHst/,[HIGHLIGHT OF THE WEEK]Proses vaksinasi saat ini masih terus berjalan. Kira kira mutasi berpengaruh gak yah terhadap jenis jenis vaksin yang sudah diproduksi? Apakah bakal jadi gak efektif? Ayo simak sama sama di postingan mico ini.#BersatuLawanCovid19 #3M3T #vaccine,0,60,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/167370663_170392371599932_363255430191611566_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=104&_nc_ohc=e-cYiDfnqDwAX_iYU9n&edm=APU89FABAAAA&ccb=7-4&oh=38c6cab8bb8785d7c32480cce3cdd93b&oe=60DE6B66&_nc_sid=86f79a,False,2021 Apr 03 18:43:55
29,https://www.instagram.com/p/CNKXHoqHCSK/,[HIGHLIGHT OF THE WEEK]Kemarin Mico sudah bahas sedikit tentang penyebab dan efek dari mutasi virus corona. Karena kemarin mutasi dapat merubah struktur kira kira gimana nih efeknya terhadap 3 modalitas pemeriksaan yang selama ini rutin dilakukan?.Kira kira ada efeknya gak yah mutasi terhadap hasil pemeriksaan lab? Apa bisa jadi gk kedeteksi? Simak dipostingan ini yaa.#BersatuLawanCovid19 #3M3T #mutasicovid19 #covid19indonesia,0,35,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/167107665_1432298533784892_3148891983962670139_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=Bu3CxNpoUtMAX80GCSd&edm=APU89FABAAAA&ccb=7-4&oh=ec21dda3529a677ed79691d20859461e&oe=60DE0DB9&_nc_sid=86f79a,False,2021 Apr 02 18:28:01
30,https://www.instagram.com/p/CNFLaPMng6N/,"[HIGHLIGHT OF THE WEEK]Siapaa nih yang masih bertanya tanya kayak mico, kenapa sih mutasi virus corona jadi makin banyak? Dalam setahun ini aja sudah ada beberapa varian baru yang ditemukaan :( lalu apakah mutasi dari virus corona ini bisa dicegah?? Simak postingan mico biar kita belajar sama sama #BersatuLawanCovid19 #3M3T",1,76,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/166660543_458855345233394_4709786243717541456_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=m4oMV0uUndkAX99LJMr&edm=APU89FABAAAA&ccb=7-4&oh=05776ba287fef7bd647c663b4a284ebf&oe=60DE9BEF&_nc_sid=86f79a,False,2021 Mar 31 18:09:30
31,https://www.instagram.com/p/CNCryDNHpdo/,[HIGLIGHT OF THE WEEK]Minggu ini Mico bakal bahas seputar mutasi mutasian pada COVID-19 nih..Sudah pada dengat belum kalau mutasi virus corona sudah sampai di Indonesia? Nah berita terbaru menunjukan terdapat 6 kasus infeksi virus corona B.1.1.7 per tanggal 09 Maret 2021.Sebenarnya apakah mutasi itu? Mengapa virus bisa bermutasi?.Yuk cek feed berikut supaya tidak salah paham dengan proses mutasi virus corona!#BersatuLawanCOVID19 #3M3T,0,67,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/166320084_951824038890361_7262994226737486156_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=KeZT-uHcEGQAX-7S_JM&edm=APU89FABAAAA&ccb=7-4&oh=89b11a7b34d4cfc7d5ebec5d6c723ee9&oe=60DD18D9&_nc_sid=86f79a,False,2021 Mar 30 18:54:39
32,https://www.instagram.com/p/CNCVu_dnzf8/,"[COFIGHTurns1 Credit] Begitu banyak pihak yang telah ikut serta dalam perjalanan COFIGHT sejak awal sampai saat ini. Tentunya tidak ada kata yang cukup untuk menggambarkan rasa terima kasih kami.Video ini kami persembahkan untuk semua orang baik yang sudah berjuangan bersama sejak awal sampai saat ini. Semoga semua kebaikan ini bisa terus terlaksana untuk siapapun dan di manapun. Tanpa kalian, COFIGHT tidak akan berada di titik ini.Akhir kata dalam rangkaian COFIGHTurns1 ini, kami ucapkan,Terima kasih, Orang Baik #COFIGHTurns1 #SetahunBerkolaborasi",2,79,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/e35/c157.0.406.406a/165940426_905140443596383_3176020632282389359_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=1zTKHGEFxqYAX8ybouw&edm=APU89FABAAAA&ccb=7-4&oh=6ef3077dab0c028c31cc97ed775d515a&oe=60D76C8A&_nc_sid=86f79a,False,2021 Mar 30 15:41:59
33,https://www.instagram.com/p/CM1cTVDne6P/,"[COFIGHTurns1 Program Review #4 Part2]Selanjutnya Mico mau review tentang Program Pemantauan COVID-19 dari Tim Pemantauan nih..Program Pemantauan COVID-19 merupakan cikal bakal terbentuknya COFIGHT, sekaligus merupakan program kerja pertama COFIGHT..Selama kurang lebih 1 tahun ini, relawan pemantauan COFIGT sudah memantau sekitar 1.900 individu, baik pelaku pelaku perjalanan, pasien suspek, probable, atau konfirmasi COVID-19 yg melakukan isolasi mandiri secara daring..Program Pemantauan COVID-19 pertama kali dilakukan bekerja sama dengan Puskesmas Bambanglipuro, Bantul, DIY. Saat ini, COFIGHT sudah bekerja sama dengan 14 puskesmas di 4 kabupaten (Bantul, Sleman, Kulon Progo, Pacitan) lho..Waah luar biasa ya pencapaiannya. Semangat terus untuk teman-teman Cofighters! Jangan lupa 3M nya ya teman-teman.#COFIGHTurns1 #SetahunBerkolaborasi #BersatuLawanCOVID19 #PemantauanCOVID19 #3M3T #IsolasiMandiri",0,42,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/164055244_141017851195002_6571963737723402109_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=106&_nc_ohc=23KyyZzGKPUAX9BvCxE&edm=APU89FABAAAA&ccb=7-4&oh=966efabc94ae285a419f271401503bf1&oe=60DDA7F1&_nc_sid=86f79a,False,2021 Mar 25 15:29:15
34,https://www.instagram.com/p/CM1aVFpnMn0/,"[COFIGHTurns1 Program Review #4 Part1]Hari ini Mico akan mereview program dari tim-tim di bawah Wakil Internal, yaitu Tim HRD dan Tim Pemantauan.Kita bahas program Level Up! dari tim HRD dulu yaa!.Level Up! merupakan program capacity building sebagai salah satu bentuk apresiasi kepada relawan (Cofighters) dan pengurus COFIGHT. Program ini dibuat untuk mengembangkan softskill Cofighters dan pengurus COFIGHT dalam bentuk seminar/talkshow daring, dengan tema-tema menarik sesuai kebutuhan relawan dan pembicara yang keren-keren..Mico kasih bocoran ya, di Level Up! ada kuota seat untuk umum lho guys! Yuk ikutan mengembangkan softskillmu bersama COFIGHT di Level Up! berikutnya.#COFIGHTurns1 #SetahunBerkolaborasi #VolunteersCapacityBuilding #HRD #3M3T",0,32,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/163643430_826784937917866_4397370661783958119_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=s0fWh3CfqasAX-0nwUU&edm=APU89FABAAAA&ccb=7-4&oh=43381c02cba88fefdf038c419d6430dc&oe=60DDE21C&_nc_sid=86f79a,False,2021 Mar 25 15:12:01
35,https://www.instagram.com/p/CMzNJ1FH5zj/,"[COFIGHTurns1 Program Review #3 Part2]Masih dengan Program Kerja Kreatif, sekarang Mico bakal bahas tentang Highlight of the Week (HOTW) dan Campaign..Highlight of the Week merupakan program edukasi untuk merespon masalah masalah selama pandemi secara Ilmiah. Hinggat saat ini sudah diadakan sebanyak 2 kali, yaitu mengenai PTM dan Vaksin..Campaign adalah program yang diadakan Cofight untuk mengatasi masalah selama Pandemi, yaitu mengenai pendidikan. Campaign diadakan pada Bulan Juli - Agustus 2020 dengan judul Anak Sehat Merdeka Belajar. Siapa nih yang kemarin ikut berpartisipasi di campaign?? #COFIGHTurns1 #BersatuLawanCOVID19 #Highlightoftheweek #Campaign #3M3T",0,30,https://instagram.fcgk29-1.fna.fbcdn.net/v/t51.2885-15/sh0.08/e35/s640x640/163493562_740227066663692_6513683673881515166_n.jpg?tp=1&_nc_ht=instagram.fcgk29-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=k2oN87qgpWAAX9R6F9h&edm=APU89FABAAAA&ccb=7-4&oh=22051af1838d7c9676d06cc4ebbcda75&oe=60DE8201&_nc_sid=86f79a,False,2021 Mar 24 18:38:24
